DATE,AUD,NZD,USD,EUR,GBP,CAD,JPY,SGD,HKD,CHF,CNY
3/23/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
3/24/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
3/25/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
3/26/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
3/27/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
3/30/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
3/31/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.8140000000000001,3.25
4/1/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/2/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/3/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/6/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/7/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/8/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/9/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/10/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/13/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/14/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/15/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/16/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/17/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/20/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/21/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/22/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/23/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/24/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/27/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/28/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/29/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
4/30/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
5/1/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/4/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/5/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/6/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/7/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/8/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/11/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/12/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/13/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/14/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/15/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/18/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/19/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/20/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/21/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/22/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/25/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/26/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/27/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/28/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
5/29/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.7879999999999999,3.25
6/1/2015,2.15,3.33,0.18,-0.01,0.57,0.89,0.17,0.16,0.5,-0.789,3.25
6/2/2015,2.15,3.33,0.18,-0.01,0.57,0.89,0.17,0.16,0.5,-0.789,3.25
