,value,
0,100000000,1
1,100672069.9,1.006720699
2,98869284.06,0.988692841
3,99346427.67,0.993464277
4,99267532.73,0.992675327
5,99185566.91,0.991855669
6,98855909.19,0.988559092
7,98639655.71,0.986396557
8,98811046.39,0.988110464
9,99541528.73,0.995415287
10,99181107.87,0.991811079
11,99278669.36,0.992786694
12,98848044.98,0.98848045
13,99063768.65,0.990637686
14,98683394.96,0.98683395
15,97828595,0.97828595
16,99225259.66,0.992252597
17,98673817.96,0.98673818
18,100095907.4,1.000959074
19,102526904,1.02526904
20,105480154.6,1.054801546
21,108039312.4,1.080393124
22,108710060.9,1.087100609
23,108173553.9,1.081735539
24,109340407.1,1.093404071
25,108704594.9,1.087045949
26,107772733.3,1.077727333
27,107662171.6,1.076621716
28,105070179.1,1.050701791
29,104735378.4,1.047353784
30,105274755,1.05274755
31,103645222.5,1.036452225
32,103823703.6,1.038237036
33,103529667,1.03529667
34,103418951.8,1.034189518
35,103418951.8,1.034189518
36,103418951.8,1.034189518
37,103370763.8,1.033707638
38,103370763.8,1.033707638
39,103370763.8,1.033707638
40,103196548,1.03196548
41,102728111.1,1.027281111
42,103525369.2,1.035253692
43,100386897.3,1.003868973
44,100873139.5,1.008731395
45,100873139.5,1.008731395
46,101761684.8,1.017616848
47,102516034.6,1.025160346
48,104183900.8,1.041839008
49,103232951.6,1.032329516
50,104242157.1,1.042421571
51,105130095.1,1.051300951
52,104819195.5,1.048191955
53,105030036.6,1.050300366
54,105373825.4,1.053738254
55,108293780,1.0829378
56,107764379.3,1.077643793
57,107098197.3,1.070981973
58,106684961.7,1.066849617
59,105940371.1,1.059403711
60,107156734.7,1.071567347
61,107152535.8,1.071525358
62,106646109.8,1.066461098
63,107552428.3,1.075524283
64,107191087.8,1.071910878
65,107607679.3,1.076076793
66,110123179.5,1.101231795
67,111999224.9,1.119992249
68,114151374.7,1.141513747
69,114182443.7,1.141824437
70,117691961,1.17691961
71,115628446.5,1.156284465
72,113800757.4,1.138007574
73,114325998.2,1.143259982
74,112819353.3,1.128193533
75,115135305.9,1.151353059
76,115069639.4,1.150696394
77,114056901.2,1.140569012
78,114066374.1,1.140663741
79,114726825.1,1.147268251
80,113766254.1,1.137662541
81,113696219.8,1.136962198
82,112517129.8,1.125171298
83,116182528.8,1.161825288
84,116857596.3,1.168575963
85,119438920.6,1.194389206
86,121729421.7,1.217294217
87,123004561.4,1.230045614
88,124205251.1,1.242052511
89,122241557.1,1.222415571
90,120443328.9,1.204433289
91,123194046,1.23194046
92,124337308.5,1.243373085
93,122175904,1.22175904
94,123671932.4,1.236719324
95,122315139.4,1.223151394
96,122873603.8,1.228736038
97,122364952.5,1.223649525
98,120936939,1.20936939
99,121262408.4,1.212624084
100,120784255.9,1.207842559
101,122218490.7,1.222184907
102,122483459.3,1.224834593
103,122503453.3,1.225034533
104,122412996.5,1.224129965
105,122817224.8,1.228172248
106,124145408.7,1.241454087
107,122853563.1,1.228535631
108,121850275.7,1.218502757
109,121975189.9,1.219751899
110,120699463.6,1.206994636
111,119533030.3,1.195330303
112,118885188.6,1.188851886
113,118659703.2,1.186597032
114,120187314.5,1.201873145
115,121181644.3,1.211816443
116,121429422.3,1.214294223
117,120612702.4,1.206127024
118,120516718.6,1.205167186
119,119995021.1,1.199950211
120,119787053.6,1.197870536
121,120090446.5,1.200904465
122,118301316.1,1.183013161
123,119444109.6,1.194441096
124,123596015.7,1.235960157
125,126639248.1,1.266392481
126,128654146.7,1.286541467
127,127673171.9,1.276731719
128,132370593.9,1.323705939
129,133329325.5,1.333293255
130,133840379.8,1.338403798
131,133709651,1.33709651
132,132946202.1,1.329462021
133,133704563.8,1.337045638
134,136791995.3,1.367919953
135,137625571.3,1.376255713
136,136820214,1.36820214
137,137573299.3,1.375732993
138,142900231.5,1.429002315
139,144655198.7,1.446551987
140,145394004.1,1.453940041
141,146105007.5,1.461050075
142,143529990.1,1.435299901
143,145187463.6,1.451874636
144,146760283.8,1.467602838
145,145944587.3,1.459445873
146,145152214,1.45152214
147,145566900.4,1.455669004
148,146776274.2,1.467762742
149,148106659.6,1.481066596
150,146379012.5,1.463790125
151,145361883.9,1.453618839
152,144345116.4,1.443451164
153,144652432,1.44652432
154,145512261.4,1.455122614
155,144876574.1,1.448765741
156,146336607.8,1.463366078
157,149727339.3,1.497273393
158,148891592.6,1.488915926
159,145961296.4,1.459612964
160,147006529.4,1.470065294
161,145661653.4,1.456616534
162,144676085.7,1.446760857
163,145915361.3,1.459153613
164,147515990.6,1.475159906
165,146759821,1.46759821
166,147896563.7,1.478965637
167,146327313.6,1.463273136
168,145854035.3,1.458540353
169,145385344.8,1.453853448
170,142656458.9,1.426564589
171,143759066.2,1.437590662
172,142817873.6,1.428178736
173,143471045.9,1.434710459
174,143556446.4,1.435564464
175,143564003.7,1.435640037
176,142701828.8,1.427018288
177,141598624.3,1.415986243
178,142373612.7,1.423736127
179,141988505,1.41988505
180,143045127.2,1.430451272
181,144216008.4,1.442160084
182,144806286,1.44806286
183,143289962.5,1.432899625
184,139291588.6,1.392915886
185,138500949.5,1.385009495
186,135687677.5,1.356876775
187,136958382.1,1.369583821
188,139822326.9,1.398223269
189,139606231,1.39606231
190,140217327.1,1.402173271
191,140848116.9,1.408481169
192,141041451.6,1.410414516
193,141404681,1.41404681
194,139931861.2,1.399318612
195,137824412.6,1.378244126
196,138094114.4,1.380941144
197,137576114.6,1.375761146
198,137365040.7,1.373650407
199,137663418.3,1.376634183
200,137527581,1.37527581
201,138625055.1,1.386250551
202,139701853.7,1.397018537
203,137712166.6,1.377121666
204,137791367.3,1.377913673
205,139233093,1.39233093
206,137923894.9,1.379238949
207,137971852.5,1.379718525
208,139511975.7,1.395119757
209,139885368.1,1.398853681
210,139957597.4,1.399575974
211,140687877.6,1.406878776
212,142688509.6,1.426885096
213,142123505.5,1.421235055
214,141902686.2,1.419026862
215,141671902,1.41671902
216,141507597.1,1.415075971
217,143462662.7,1.434626627
218,144220964.8,1.442209648
219,142643836.9,1.426438369
220,141638999.7,1.416389997
221,141440893,1.41440893
222,141578718.7,1.415787187
223,140684955.8,1.406849558
224,140151539.1,1.401515391
225,140570648.3,1.405706483
226,140753462.8,1.407534628
227,140740184.3,1.407401843
228,141166062.8,1.411660628
229,141840213.7,1.418402137
230,142187932.9,1.421879329
231,143298688.6,1.432986886
232,144549614.5,1.445496145
233,144607033,1.44607033
234,144382194,1.44382194
235,144261585.4,1.442615854
236,144711399.6,1.447113996
237,142671902.8,1.426719028
238,143502494.7,1.435024947
239,146051721.3,1.460517213
240,146160618.7,1.461606187
241,151424170,1.5142417
242,155866098.8,1.558660988
243,152776211.5,1.527762115
244,150046401.5,1.500464015
245,149311473.2,1.493114732
246,148111239.3,1.481112393
247,148111239.3,1.481112393
248,148111239.3,1.481112393
249,148263044.9,1.482630449
250,147761779.9,1.477617799
251,147014154.8,1.470141548
252,147473144.3,1.474731443
253,147636751.2,1.476367512
254,146119289.6,1.461192896
255,145975335.8,1.459753358
256,144469381.8,1.444693818
257,143350311.1,1.433503111
258,143356366.6,1.433563666
259,143239252.4,1.432392524
260,143637894,1.43637894
261,143277446.7,1.432774467
262,142815266.3,1.428152663
263,143965384.8,1.439653848
264,144636640.5,1.446366405
265,144555571.5,1.445555715
266,144055964,1.44055964
267,144061079.6,1.440610796
268,142674214.4,1.426742144
269,141673308.8,1.416733088
270,141747967.7,1.417479677
271,141518747.6,1.415187476
272,141192483.2,1.411924832
273,140649481.4,1.406494814
274,138527826.9,1.385278269
275,137412136.6,1.374121366
276,137191594.1,1.371915941
277,136565480,1.3656548
278,136769762.9,1.367697629
279,136847841,1.36847841
280,137232325.6,1.372323256
281,139049168,1.39049168
282,138751459.4,1.387514594
283,140698262.2,1.406982622
284,140884868.2,1.408848682
285,141812955.5,1.418129555
286,140867790,1.4086779
287,140467543.7,1.404675437
288,140058002,1.40058002
289,139901386.1,1.399013861
290,137116395.3,1.371163953
291,135718643.1,1.357186431
292,135641066.4,1.356410664
293,136349383.3,1.363493833
294,136785217.9,1.367852179
295,136475888.8,1.364758888
296,136521497.4,1.365214974
297,134663553.4,1.346635534
298,133501305.3,1.335013053
299,132908185.2,1.329081852
300,132618578.5,1.326185785
301,133375847.2,1.333758472
302,134495518.8,1.344955188
303,134782364.7,1.347823647
304,134328405,1.34328405
305,134254982.1,1.342549821
306,133097977.2,1.330979772
307,132661991.7,1.326619917
308,132339816.7,1.323398167
309,132813245.5,1.328132455
310,133140701.3,1.331407013
311,134027991.2,1.340279912
312,135169797.2,1.351697972
313,134606400.8,1.346064008
314,135088217.8,1.350882178
315,133618715.1,1.336187151
316,134299092.9,1.342990929
317,135068147.6,1.350681476
318,135886607.4,1.358866074
319,135391588.3,1.353915883
320,135441817.8,1.354418178
321,135274504.8,1.352745048
322,139958115.7,1.399581157
323,141117002.6,1.411170026
324,141275032.6,1.412750326
325,139480835.9,1.394808359
326,137613063,1.37613063
327,139924859.5,1.399248595
328,140743968.6,1.407439686
329,140862877.2,1.408628772
330,140132110.3,1.401321103
331,140243071.3,1.402430713
332,141997017.2,1.419970172
333,142136781.1,1.421367811
334,142705381.3,1.427053813
335,142625828.7,1.426258287
336,143051142.6,1.430511426
337,144020054.9,1.440200549
338,145903513.8,1.459035138
339,147747083,1.47747083
340,152861341.7,1.528613417
341,153385328.4,1.533853284
342,153547510.2,1.535475102
343,154928662.1,1.549286621
344,160236518.1,1.602365181
345,166335792,1.66335792
346,165884330.5,1.658843305
347,172004406.8,1.720044068
348,178287697.5,1.782876975
349,173817362.1,1.738173621
350,177765576.3,1.777655763
351,176860558.9,1.768605589
352,174365928.1,1.743659281
353,169599191.8,1.695991918
354,168810499.7,1.688104997
355,168537335.7,1.685373357
356,169726782.4,1.697267824
357,172698144.8,1.726981448
358,171999690,1.7199969
359,173089387.3,1.730893873
360,171000666.5,1.710006665
361,169466970.3,1.694669703
362,169211521.4,1.692115214
363,171106678.8,1.711066788
364,170799008.9,1.707990089
365,169410377.4,1.694103774
366,166173644.2,1.661736442
367,164695890.9,1.646958909
368,165383652.1,1.653836521
369,165036123.8,1.650361238
370,163086829.9,1.630868299
371,161720014.3,1.617200143
372,163247951.2,1.632479512
373,162227107.5,1.622271075
374,162389662.6,1.623896626
375,161869702.6,1.618697026
376,161202125.6,1.612021256
377,161609872.5,1.616098725
378,160699314.2,1.606993142
379,162404045.3,1.624040453
380,162030634.9,1.620306349
381,164214695.6,1.642146956
382,165209072.9,1.652090729
383,164856385.5,1.648563855
384,164815489.7,1.648154897
385,164397652.6,1.643976526
386,164953533.7,1.649535337
387,165296319.4,1.652963194
388,164622440.9,1.646224409
389,163831608.4,1.638316084
390,169245722.2,1.692457222
391,168640054.6,1.686400546
392,166453062.5,1.664530625
393,165384734.4,1.653847344
394,165824814.5,1.658248145
395,166388305.9,1.663883059
396,165953057.9,1.659530579
397,168437991.3,1.684379913
398,168812940.9,1.688129409
399,169645689.4,1.696456894
400,170486898,1.70486898
401,171531790,1.7153179
402,172330429.3,1.723304293
403,172347546.5,1.723475465
404,171006393,1.71006393
405,171652455,1.71652455
406,171918165.1,1.719181651
407,172852883.2,1.728528832
408,172888130,1.7288813
409,171941509,1.71941509
410,172676582.3,1.726765823
411,172845616.3,1.728456163
412,173064756.7,1.730647567
413,173228813.6,1.732288136
414,173972339,1.73972339
415,175454076.8,1.754540768
416,175062390.5,1.750623905
417,182640905.9,1.826409059
418,188016297.3,1.880162973
419,190986348.7,1.909863487
420,191747703.2,1.917477032
421,195684189.5,1.956841895
422,202861402.6,2.028614026
423,203112685.8,2.031126858
424,202764372.1,2.027643721
425,196901452.6,1.969014526
426,191866632.6,1.918666326
427,192293801.1,1.922938011
428,193365509.4,1.933655094
429,194255510.8,1.942555108
430,193283578.7,1.932835787
431,193283975.7,1.932839757
432,189922584.8,1.899225848
433,187535688.3,1.875356883
434,186753561,1.86753561
435,186135815,1.86135815
436,188933724.5,1.889337245
437,192905465.5,1.929054655
438,192908041.1,1.929080411
439,192908041.1,1.929080411
440,192908041.1,1.929080411
441,192908041.1,1.929080411
442,192908041.1,1.929080411
443,192521796.2,1.925217962
444,192604369.4,1.926043694
445,192102824,1.92102824
446,192353964.6,1.923539646
447,191952800.1,1.919528001
448,190462635.3,1.904626353
449,191625063.6,1.916250636
450,191310648.7,1.913106487
451,191796931.3,1.917969313
452,192166567.2,1.921665672
453,193509870.1,1.935098701
454,193322284.7,1.933222847
455,193148618.6,1.931486186
456,193061433.4,1.930614334
457,191674684.2,1.916746842
458,189852696.1,1.898526961
459,190704392.5,1.907043925
460,190820399,1.90820399
461,192592110.2,1.925921102
462,193203847.1,1.932038471
463,195174910.7,1.951749107
464,193599928.7,1.935999287
465,192967767.1,1.929677671
466,193355884,1.93355884
467,194244337.4,1.942443374
468,194443917.8,1.944439178
469,197606838.8,1.976068388
470,197915832.2,1.979158322
471,199050031,1.99050031
472,197528778.3,1.975287783
473,201340912.6,2.013409126
474,201808138.1,2.018081381
475,200655786.3,2.006557863
476,196350269.3,1.963502693
477,200167021.7,2.001670217
478,200144766.1,2.001447661
479,198413480.6,1.984134806
480,198459659.6,1.984596596
481,196958208.5,1.969582085
482,197942196.6,1.979421966
483,198395612.8,1.983956128
484,198052716.1,1.980527161
485,198106589.3,1.981065893
486,196825423.5,1.968254235
487,197823355.6,1.978233556
488,197426528.1,1.974265281
489,197201688.4,1.972016884
490,198075733.3,1.980757333
491,198799847.6,1.987998476
492,201978247,2.01978247
493,203490827.4,2.034908274
494,202439022.3,2.024390223
495,197061898,1.97061898
496,195218097.3,1.952180973
497,195112631.1,1.951126311
498,193386098,1.93386098
499,195583495.7,1.955834957
500,195413917,1.95413917
501,196990376.5,1.969903765
502,197821478.4,1.978214784
503,198419420,1.9841942
504,199634991.1,1.996349911
505,197976384.3,1.979763843
506,197537102.6,1.975371026
507,197942448.4,1.979424484
508,198272289.2,1.982722892
509,201730844.1,2.017308441
510,204483726.4,2.044837264
511,204257157.6,2.042571576
512,206635447.4,2.066354474
513,205683286.8,2.056832868
514,207549454.2,2.075494542
515,209082476.4,2.090824764
516,207051656.9,2.070516569
517,208777620.4,2.087776204
518,209774033.2,2.097740332
519,210453470,2.1045347
520,209606881.4,2.096068814
521,209916902.6,2.099169026
522,213729933.3,2.137299333
523,216355965.7,2.163559657
524,222393708.6,2.223937086
525,218890179.5,2.188901795
526,220527359.1,2.205273591
527,223531718.3,2.235317183
528,229536271.9,2.295362719
529,227992795.3,2.279927953
530,225681095.8,2.256810958
531,222973686.5,2.229736865
532,222348466.4,2.223484664
533,228504947.2,2.285049472
534,231618531.3,2.316185313
535,227692940.9,2.276929409
536,227458855.6,2.274588556
537,228422059.5,2.284220595
538,221796420.4,2.217964204
539,217439121,2.17439121
540,218031162.8,2.180311628
541,219186263,2.19186263
542,220133905.3,2.201339053
543,219447631.1,2.194476311
544,219286506.2,2.192865062
545,220270232.4,2.202702324
546,219735181,2.19735181
547,219762388.2,2.197623882
548,219284970.1,2.192849701
549,221596666.8,2.215966668
550,222469115.8,2.224691158
551,223007621.2,2.230076212
552,221192140.3,2.211921403
553,221644111.4,2.216441114
554,221984886.9,2.219848869
555,221690778.7,2.216907787
556,221570826.4,2.215708264
557,219583259.8,2.195832598
558,218842299.3,2.188422993
559,216480048.8,2.164800488
560,216929502.6,2.169295026
561,218562422.3,2.185624223
562,218184077.4,2.181840774
563,217595124.2,2.175951242
564,217530263.7,2.175302637
565,217805529.2,2.178055292
566,217861557.2,2.178615572
567,217490880.9,2.174908809
568,216981312.6,2.169813126
569,219256217.9,2.192562179
570,222424792.1,2.224247921
571,222182618.3,2.221826183
572,226201508.7,2.262015087
573,226632884.6,2.266328846
574,226136640.4,2.261366404
575,227407394,2.27407394
576,230173659.5,2.301736595
577,232501051.4,2.325010514
578,232626329.6,2.326263296
579,234675895.2,2.346758952
580,238533499.6,2.385334996
581,242312799.4,2.423127994
582,243576954.2,2.435769542
583,242765832.3,2.427658323
584,242361853.5,2.423618535
585,243323683.4,2.433236834
586,242160046.7,2.421600467
587,244395285.2,2.443952852
588,246444740.9,2.464447409
589,247775046.4,2.477750464
590,256149105.2,2.561491052
591,262505486.7,2.625054867
592,262703504.7,2.627035047
593,263257979.2,2.632579792
594,260140368.8,2.601403688
595,255829815.6,2.558298156
596,260720411.8,2.607204118
597,260224138.1,2.602241381
598,263211413.3,2.632114133
599,262963534.8,2.629635348
600,262554365,2.62554365
601,263534727,2.63534727
602,260769089.7,2.607690897
603,259373312.8,2.593733128
604,259450108.8,2.594501088
605,258659131.6,2.586591316
606,259869232.8,2.598692328
607,258761695.1,2.587616951
608,259504594.2,2.595045942
609,259740421,2.59740421
610,259509255.6,2.595092556
611,258353267.9,2.583532679
612,257652002.8,2.576520028
613,257301382,2.57301382
614,258182503.1,2.581825031
615,258277632.2,2.582776322
616,257398313.8,2.573983138
617,256111554.8,2.561115548
618,255439231.7,2.554392317
619,255719014,2.55719014
620,258478347.4,2.584783474
621,260152240.3,2.601522403
622,261833308.5,2.618333085
623,260557953.2,2.605579532
624,264057812.5,2.640578125
625,265200440.3,2.652004403
626,264750459.1,2.647504591
627,265017191.1,2.650171911
628,264484386,2.64484386
629,265308522.7,2.653085227
630,266242090,2.6624209
631,264747164.7,2.647471647
632,264185866.8,2.641858668
633,264570793,2.64570793
634,265724293.6,2.657242936
635,264566906,2.64566906
636,263144123,2.63144123
637,261932814.9,2.619328149
638,262366046.4,2.623660464
639,261809805.7,2.618098057
640,263096344,2.63096344
641,262003703.1,2.620037031
642,261132975.2,2.611329752
643,261344948.3,2.613449483
644,261945512.5,2.619455125
645,261788918.8,2.617889188
646,259885671,2.59885671
647,261047446.6,2.610474466
648,260961138,2.60961138
649,262872426.3,2.628724263
650,261854215.1,2.618542151
651,261584741.8,2.615847418
652,261752244.8,2.617522448
653,262940067.3,2.629400673
654,260532292.4,2.605322924
655,258466294.9,2.584662949
656,257349275.9,2.573492759
657,257123568,2.57123568
658,257669951.2,2.576699512
659,257187983.5,2.571879835
660,257418852.4,2.574188524
661,257015209.2,2.570152092
662,256933342.6,2.569333426
663,257178410.1,2.571784101
664,258948252.4,2.589482524
665,259875699.2,2.598756992
666,258704922.3,2.587049223
667,259058135,2.59058135
668,258463842.4,2.584638424
669,258421904.2,2.584219042
670,257226908.4,2.572269084
671,257543325.2,2.575433252
672,256653021.7,2.566530217
673,256502470.4,2.565024704
674,254133039,2.54133039
675,251585011.4,2.515850114
676,250036014.7,2.500360147
677,250408296,2.50408296
678,245631957.8,2.456319578
679,245002218.6,2.450022186
680,244768666.9,2.447686669
681,244613674.1,2.446136741
682,245706665.3,2.457066653
683,244768050.1,2.447680501
684,244753413.1,2.447534131
685,244870246.7,2.448702467
686,243791590,2.4379159
687,243468549.6,2.434685496
688,243712721,2.43712721
689,243729400.7,2.437294007
690,243842165.8,2.438421658
691,243866798.5,2.438667985
692,243273029.5,2.432730295
693,245902873,2.45902873
694,246131322.6,2.461313226
695,242841116.1,2.428411161
696,243116855.8,2.431168558
697,244939792,2.44939792
698,243522850.7,2.435228507
699,242061800.8,2.420618008
700,243638733.7,2.436387337
701,243243757.8,2.432437578
702,245512289,2.45512289
703,244037773.1,2.440377731
704,246992920.5,2.469929205
705,243516272.5,2.435162725
706,240273047.4,2.402730474
707,239627208.2,2.396272082
708,238679826.6,2.386798266
709,237990970.7,2.379909707
710,238261583.3,2.382615833
711,239232272,2.39232272
712,239373346.7,2.393733467
713,240872166.3,2.408721663
714,240071054.4,2.400710544
715,238751845.3,2.387518453
716,237089153.4,2.370891534
717,238723263.9,2.387232639
718,240076425.1,2.400764251
719,238949594.9,2.389495949
720,237605489.2,2.376054892
721,240012597,2.40012597
722,239078643.6,2.390786436
723,238668427.1,2.386684271
724,238297255.8,2.382972558
725,237413737.6,2.374137376
726,236896637.5,2.368966375
727,234613925.2,2.346139252
728,231724038.9,2.317240389
729,228838335.9,2.288383359
730,228819576.5,2.288195765
731,228608607.4,2.286086074
732,229098779.6,2.290987796
733,227576160.9,2.275761609
734,226773658,2.26773658
735,227093211.4,2.270932114
736,225423039,2.25423039
737,224922739.4,2.249227394
738,226222834.3,2.262228343
739,226358646.2,2.263586462
740,227281035.8,2.272810358
741,227371580.3,2.273715803
742,227772094.4,2.277720944
743,227711780,2.2771178
744,228158330.8,2.281583308
745,228063415.5,2.280634155
746,227905971.8,2.279059718
747,231362933.1,2.313629331
748,230372038.8,2.303720388
749,230661250.6,2.306612506
750,227642674.4,2.276426744
751,228392463.2,2.283924632
752,229804999.6,2.298049996
753,230605534.3,2.306055343
754,229451145.4,2.294511454
755,228719284.2,2.287192842
756,230199772.5,2.301997725
757,230742952.8,2.307429528
758,230573360.5,2.305733605
759,230696537.1,2.306965371
760,233540501.6,2.335405016
761,234469684.8,2.344696848
762,238066259.4,2.380662594
763,239369825.5,2.393698255
764,242640214.9,2.426402149
765,242839456,2.42839456
766,245425918.8,2.454259188
767,249135621.5,2.491356215
768,250338819.4,2.503388194
769,254584418.3,2.545844183
770,257589308.1,2.575893081
771,260640177.7,2.606401777
772,260579144.3,2.605791443
773,262453490.6,2.624534906
774,262748685.7,2.627486857
775,258957126.2,2.589571262
776,261799675.5,2.617996755
777,261445152.9,2.614451529
778,260843513,2.60843513
779,259320274.1,2.593202741
780,264043887.8,2.640438878
781,263701822,2.63701822
782,260673581.8,2.606735818
783,259660002.5,2.596600025
784,260972037.2,2.609720372
785,259685378.8,2.596853788
786,260842558.6,2.608425586
787,260225990.8,2.602259908
788,260550469.1,2.605504691
789,260938602,2.60938602
790,261283789.2,2.612837892
791,262297019.8,2.622970198
792,261859450.6,2.618594506
793,261486451.4,2.614864514
794,262235439.8,2.622354398
795,264968324.5,2.649683245
796,266343428.7,2.663434287
797,265019555.6,2.650195556
798,270710027.7,2.707100277
799,270411667.6,2.704116676
800,269350130.9,2.693501309
801,269884624.7,2.698846247
802,267116548.4,2.671165484
803,264182002.6,2.641820026
804,260184425.6,2.601844256
805,258988249.5,2.589882495
806,256279981.5,2.562799815
807,252986648.4,2.529866484
808,250590586.8,2.505905868
809,250928264,2.50928264
810,250964192.1,2.509641921
811,250617238.4,2.506172384
812,250635708.4,2.506357084
813,253039278.7,2.530392787
814,253207823.3,2.532078233
815,252841613.9,2.528416139
