Date,AUD,CAD,CHF,EUR,GBP,HKD,JPY,USD,SGD
3/23/2015,0.2072,0.2029,0.1577,0.1487,0.1079,1.2502,19.326,0.1614,0.2195
3/24/2015,0.2043,0.2014,0.1555,0.1468,0.1076,1.2476,19.24,0.1612,0.2192
3/25/2015,0.2048,0.2015,0.1546,0.1475,0.1086,1.2492,19.268,0.1614,0.2198
3/26/2015,0.2055,0.2016,0.1545,0.1466,0.1082,1.248,19.203,0.1613,0.2193
3/27/2015,0.2056,0.201,0.1552,0.1478,0.1084,1.2487,19.166,0.1613,0.2197
3/30/2015,0.2079,0.2028,0.1546,0.1475,0.108,1.2466,19.154,0.1612,0.2203
3/31/2015,0.2104,0.2042,0.1558,0.1485,0.1088,1.2491,19.306,0.1614,0.2211
4/1/2015,0.2118,0.2047,0.1568,0.15,0.1088,1.2499,19.325,0.1616,0.2195
4/2/2015,0.2122,0.2035,0.1559,0.1496,0.1088,1.251,19.27,0.1616,0.2188
4/3/2015,0.2126,0.2024,0.1547,0.148,0.1087,1.2492,19.262,0.1616,0.2172
4/6/2015,0.2134,0.2034,0.1553,0.148,0.1092,1.264,19.351,0.1616,0.2175
4/7/2015,0.2136,0.2023,0.1553,0.148,0.1089,1.2564,19.339,0.1616,0.2184
4/8/2015,0.2112,0.2018,0.1559,0.1489,0.1089,1.2507,19.38,0.1616,0.2179
4/9/2015,0.2097,0.2021,0.1557,0.1492,0.1083,1.2491,19.329,0.1615,0.2179
4/10/2015,0.2093,0.2028,0.1575,0.1509,0.1095,1.249,19.402,0.1614,0.2184
4/13/2015,0.2101,0.2025,0.1578,0.1516,0.11,1.2484,19.337,0.1613,0.2198
4/14/2015,0.212,0.2026,0.1572,0.1519,0.1097,1.2466,19.283,0.1612,0.2184
4/15/2015,0.2115,0.201,0.1567,0.151,0.109,1.2479,19.208,0.1612,0.2182
4/16/2015,0.21,0.1984,0.1555,0.1508,0.1087,1.2494,19.179,0.1615,0.2176
4/17/2015,0.2072,0.1969,0.1544,0.1498,0.1081,1.2511,19.183,0.1616,0.2163
4/20/2015,0.2067,0.1971,0.1536,0.1491,0.1078,1.2508,19.151,0.1616,0.2163
4/21/2015,0.2088,0.1971,0.1541,0.1498,0.1082,1.2495,19.197,0.1615,0.2172
4/22/2015,0.2091,0.1979,0.154,0.15,0.108,1.2501,19.275,0.1615,0.2167
4/23/2015,0.2083,0.1977,0.1565,0.1503,0.1074,1.2506,19.336,0.1617,0.2163
4/24/2015,0.2076,0.196,0.1542,0.149,0.1072,1.2504,19.27,0.1616,0.2148
4/27/2015,0.2059,0.1962,0.1538,0.1482,0.1063,1.2495,19.152,0.1617,0.213
4/28/2015,0.2045,0.1945,0.1536,0.1477,0.1057,1.2463,19.134,0.1611,0.2121
4/29/2015,0.2016,0.194,0.1542,0.1467,0.1051,1.2487,19.126,0.1614,0.212
4/30/2015,0.2018,0.194,0.1518,0.145,0.1046,1.2502,19.173,0.1615,0.2125
5/1/2015,0.204,0.1947,0.1504,0.1435,0.105,1.2488,19.228,0.1615,0.2131
5/4/2015,0.2053,0.1955,0.1501,0.1435,0.1061,1.2457,19.287,0.1615,0.2141
5/5/2015,0.2054,0.1948,0.1504,0.1442,0.1065,1.2484,19.321,0.1613,0.2143
5/6/2015,0.2032,0.1946,0.1495,0.1439,0.1063,1.2494,19.31,0.1614,0.2131
5/7/2015,0.2027,0.1942,0.1478,0.142,0.1058,1.2501,19.23,0.1616,0.2133
5/8/2015,0.2038,0.1951,0.1485,0.1431,0.1046,1.2488,19.255,0.1613,0.2134
5/11/2015,0.203,0.1945,0.1499,0.1435,0.1043,1.2471,19.247,0.1613,0.2136
5/12/2015,0.2039,0.1948,0.1505,0.1443,0.1034,1.2485,19.32,0.1613,0.2146
5/13/2015,0.2015,0.1934,0.1496,0.1434,0.1028,1.2486,19.277,0.1613,0.2132
5/14/2015,0.1987,0.1928,0.1479,0.1419,0.1025,1.2493,19.191,0.1614,0.2122
5/15/2015,0.1995,0.1933,0.1472,0.1413,0.1023,1.2501,19.198,0.1615,0.2124
5/18/2015,0.2001,0.1935,0.1475,0.1406,0.1023,1.2485,19.2,0.1614,0.2126
5/19/2015,0.2017,0.1959,0.1493,0.1422,0.103,1.2497,19.309,0.1614,0.2138
5/20/2015,0.2033,0.197,0.151,0.1443,0.1038,1.2483,19.406,0.1614,0.2149
5/21/2015,0.2047,0.1969,0.151,0.1451,0.1038,1.2502,19.522,0.1615,0.215
5/22/2015,0.2042,0.1968,0.1512,0.145,0.103,1.2511,19.506,0.1616,0.2142
5/25/2015,0.2061,0.198,0.1519,0.1463,0.104,1.2478,19.544,0.1616,0.2156
5/26/2015,0.2059,0.1985,0.1524,0.1467,0.1042,1.2492,19.57,0.1615,0.216
5/27/2015,0.2081,0.2002,0.1534,0.1478,0.1047,1.2489,19.793,0.1614,0.2171
5/28/2015,0.2085,0.2008,0.1532,0.1477,0.105,1.2506,19.923,0.1615,0.2172
5/29/2015,0.2105,0.2002,0.152,0.1468,0.1052,1.25,19.92,0.1615,0.217
6/1/2015,0.2103,0.2003,0.1514,0.1465,0.1052,1.2466,19.942,0.1616,0.2172
6/2/2015,0.2119,0.2021,0.1526,0.1475,0.1061,1.2505,20.108,0.1616,0.217
6/3/2015,0.2078,0.2002,0.1505,0.1444,0.1051,1.25,19.971,0.1616,0.2162
6/4/2015,0.2075,0.2009,0.1508,0.1431,0.1052,1.2503,20.022,0.1616,0.2163
6/5/2015,0.2099,0.2015,0.1507,0.1437,0.105,1.2503,20.035,0.1615,0.2168
6/8/2015,0.2114,0.2007,0.1515,0.1448,0.1055,1.2487,20.208,0.1615,0.2179
6/9/2015,0.2096,0.2,0.1495,0.1427,0.105,1.2487,20.047,0.1614,0.2172
6/10/2015,0.2097,0.1989,0.15,0.1425,0.1048,1.2497,20.026,0.1614,0.2159
6/11/2015,0.2084,0.1978,0.1502,0.1423,0.104,1.249,19.768,0.1614,0.216
6/12/2015,0.2079,0.198,0.1504,0.1431,0.1039,1.2489,19.876,0.1614,0.2161
6/15/2015,0.2075,0.1976,0.1492,0.1428,0.1031,1.2437,19.753,0.1613,0.2163
6/16/2015,0.2076,0.1983,0.1498,0.1426,0.1033,1.2481,19.847,0.1613,0.216
6/17/2015,0.2079,0.198,0.1501,0.1431,0.103,1.2483,19.85,0.1613,0.2149
6/18/2015,0.2084,0.1969,0.1483,0.1414,0.1016,1.2482,19.864,0.1613,0.2139
6/19/2015,0.2067,0.197,0.1484,0.1415,0.1014,1.2485,19.785,0.1613,0.2143
6/22/2015,0.2077,0.198,0.1481,0.1417,0.1016,1.2498,19.772,0.1613,0.214
6/23/2015,0.2083,0.1983,0.1484,0.1417,0.1017,1.2482,19.844,0.1613,0.2149
6/24/2015,0.2081,0.1986,0.1504,0.144,0.1024,1.2494,19.935,0.1614,0.2157
6/25/2015,0.209,0.1995,0.1504,0.1436,0.1026,1.2485,19.924,0.1614,0.2158
6/26/2015,0.2082,0.1986,0.1508,0.1435,0.1023,1.2476,19.868,0.1613,0.216
6/29/2015,0.2075,0.1955,0.1489,0.1441,0.1009,1.2274,19.378,0.1613,0.2166
6/30/2015,0.2098,0.1998,0.1491,0.1434,0.1024,1.2485,19.731,0.1613,0.2165
7/1/2015,0.2094,0.201,0.1506,0.1444,0.1027,1.2483,19.683,0.1615,0.2167
7/2/2015,0.2111,0.203,0.153,0.1459,0.1033,1.2499,19.853,0.1615,0.217
7/3/2015,0.2107,0.2019,0.1518,0.1452,0.1031,1.2493,19.807,0.1614,0.2167
7/6/2015,0.213,0.2011,0.1505,0.1448,0.1025,1.2354,19.487,0.1614,0.2167
7/7/2015,0.2153,0.2039,0.1519,0.1456,0.1032,1.2485,19.721,0.1613,0.217
7/8/2015,0.2159,0.2048,0.1524,0.146,0.1041,1.2482,19.699,0.1613,0.2172
7/9/2015,0.217,0.205,0.1523,0.1453,0.1048,1.2477,19.429,0.1613,0.2172
7/10/2015,0.2159,0.2047,0.1527,0.1454,0.1048,1.2483,19.577,0.1613,0.2169
7/13/2015,0.2163,0.2038,0.1509,0.1441,0.1035,1.2445,19.641,0.1613,0.2173
7/14/2015,0.2178,0.2054,0.1531,0.1464,0.104,1.2483,19.877,0.1613,0.2182
7/15/2015,0.2163,0.2052,0.1522,0.1461,0.103,1.2482,19.835,0.1613,0.2187
7/16/2015,0.2184,0.2082,0.1534,0.147,0.103,1.2479,19.916,0.1613,0.2196
7/17/2015,0.2173,0.2089,0.1542,0.1478,0.1032,1.2483,19.973,0.1613,0.2196
7/20/2015,0.2186,0.2091,0.155,0.1485,0.1032,1.2478,19.959,0.1613,0.2201
7/21/2015,0.2184,0.2093,0.1552,0.1484,0.1034,1.248,19.987,0.1613,0.2193
7/22/2015,0.2169,0.2084,0.1543,0.147,0.1035,1.2479,19.915,0.1613,0.2191
7/23/2015,0.2183,0.21,0.1545,0.1472,0.1031,1.2478,19.949,0.1613,0.2197
7/24/2015,0.2189,0.2096,0.1545,0.1463,0.1038,1.2478,19.916,0.1613,0.2202
7/27/2015,0.2212,0.2099,0.155,0.1465,0.1037,1.2475,19.895,0.1613,0.22
7/28/2015,0.2214,0.21,0.155,0.145,0.1035,1.2481,19.826,0.1613,0.2192
7/29/2015,0.2193,0.2083,0.1549,0.1454,0.1032,1.2485,19.877,0.1613,0.2192
7/30/2015,0.2206,0.2085,0.1558,0.1464,0.1032,1.2477,19.922,0.1613,0.2203
7/31/2015,0.2207,0.2094,0.156,0.147,0.1032,1.2485,19.953,0.1613,0.2198
8/3/2015,0.2203,0.211,0.1555,0.1464,0.1029,1.2466,19.92,0.1613,0.2207
8/4/2015,0.2214,0.2119,0.1561,0.1468,0.1033,1.2483,19.93,0.1613,0.2213
8/5/2015,0.2183,0.2124,0.1575,0.1477,0.1034,1.2481,19.977,0.1613,0.2222
8/6/2015,0.219,0.2121,0.1577,0.1475,0.1032,1.2482,20.059,0.1613,0.2225
8/7/2015,0.2192,0.2112,0.158,0.1472,0.1038,1.248,20.057,0.1613,0.2225
8/10/2015,0.2175,0.2117,0.1584,0.1467,0.1039,1.248,19.99,0.1613,0.2222
8/11/2015,0.2172,0.2095,0.1584,0.146,0.1033,1.2481,20.036,0.1613,0.2197
8/12/2015,0.2163,0.2071,0.1562,0.143,0.1015,1.2263,19.741,0.1584,0.2187
8/13/2015,0.2122,0.2032,0.1528,0.1402,0.1003,1.2144,19.432,0.1568,0.2162
8/14/2015,0.212,0.2043,0.1525,0.1399,0.1001,1.2121,19.419,0.1565,0.2181
8/17/2015,0.2119,0.2046,0.1526,0.1406,0.0998,1.2111,19.392,0.1567,0.2197
8/18/2015,0.2122,0.2048,0.153,0.141,0.1004,1.2127,19.435,0.1566,0.219
8/19/2015,0.2131,0.2042,0.1529,0.1416,0.0998,1.2126,19.425,0.1566,0.2182
8/20/2015,0.2123,0.2048,0.1508,0.1404,0.0996,1.212,19.347,0.1566,0.2186
8/21/2015,0.2132,0.2046,0.1501,0.1391,0.0997,1.213,19.29,0.1568,0.2194
8/24/2015,0.2154,0.2067,0.1482,0.1373,0.0998,1.2122,19.018,0.1568,0.2194
8/25/2015,0.2175,0.2074,0.1456,0.1346,0.099,1.2102,18.539,0.1564,0.2173
8/26/2015,0.2194,0.208,0.1464,0.1348,0.0993,1.2081,18.453,0.1562,0.2178
8/27/2015,0.219,0.2075,0.1486,0.1374,0.1008,1.2092,18.701,0.1562,0.2181
8/28/2015,0.2175,0.2059,0.1507,0.1386,0.1013,1.2095,18.86,0.1564,0.218
8/31/2015,0.2197,0.2077,0.1508,0.1397,0.1018,1.2155,18.998,0.1568,0.2204
9/1/2015,0.2205,0.206,0.1514,0.1395,0.1021,1.2149,18.963,0.1571,0.2205
9/2/2015,0.2241,0.2082,0.1509,0.1389,0.1026,1.2176,18.783,0.1574,0.2215
9/3/2015,0.2233,0.2087,0.1526,0.1401,0.1028,1.2187,18.941,0.1576,0.2218
9/4/2015,0.2238,0.2072,0.153,0.1413,0.1029,1.2195,18.866,0.1576,0.2224
9/7/2015,0.2269,0.2089,0.153,0.1409,0.1035,1.2196,18.727,0.1576,0.2234
9/8/2015,0.2261,0.2089,0.1532,0.1405,0.1028,1.2168,18.725,0.1573,0.2225
9/9/2015,0.2231,0.2073,0.1536,0.1399,0.102,1.217,18.831,0.1573,0.2212
9/10/2015,0.2251,0.2082,0.1529,0.1395,0.1021,1.2151,18.831,0.157,0.2213
9/11/2015,0.2219,0.2076,0.1527,0.1388,0.1016,1.215,18.89,0.1571,0.2206
9/14/2015,0.2212,0.208,0.1521,0.1382,0.1016,1.2165,18.931,0.1571,0.2205
9/15/2015,0.2193,0.2081,0.1521,0.1387,0.1018,1.217,18.874,0.1573,0.2195
9/16/2015,0.2203,0.2079,0.1529,0.1391,0.1023,1.2164,18.88,0.1572,0.219
9/17/2015,0.218,0.2067,0.1523,0.1388,0.1012,1.2168,18.895,0.1572,0.218
9/18/2015,0.2186,0.2071,0.1512,0.1377,0.101,1.2177,18.85,0.1573,0.2181
9/21/2015,0.2182,0.2075,0.1522,0.1388,0.1011,1.2162,18.809,0.1574,0.2198
9/22/2015,0.2202,0.208,0.1526,0.1401,0.1012,1.2166,18.894,0.1573,0.2211
9/23/2015,0.2215,0.2081,0.1529,0.1407,0.1021,1.2157,18.795,0.1571,0.222
9/24/2015,0.2238,0.2087,0.1534,0.1398,0.1027,1.2138,18.802,0.1569,0.2225
9/25/2015,0.2235,0.209,0.1532,0.1399,0.1029,1.214,18.809,0.1569,0.2226
9/28/2015,0.2235,0.2092,0.1537,0.1399,0.1032,1.2161,18.864,0.1571,0.2234
9/29/2015,0.2252,0.2104,0.1531,0.1396,0.1036,1.2169,18.795,0.1573,0.2241
9/30/2015,0.2244,0.2109,0.1526,0.1394,0.1037,1.2177,18.812,0.1574,0.2234
10/1/2015,0.2245,0.2095,0.1532,0.1406,0.104,1.219,18.83,0.1576,0.2234
10/2/2015,0.2236,0.2084,0.1536,0.1404,0.1039,1.2191,18.827,0.1576,0.2247
10/5/2015,0.2235,0.2075,0.153,0.1402,0.1037,1.2205,18.879,0.1576,0.223
10/6/2015,0.2221,0.2059,0.1536,0.1404,0.1039,1.2195,18.929,0.1576,0.2231
10/7/2015,0.2195,0.205,0.152,0.1394,0.1032,1.2192,18.893,0.1576,0.2212
10/8/2015,0.2187,0.2055,0.1531,0.1398,0.1027,1.2192,18.844,0.1576,0.2208
10/9/2015,0.2166,0.2046,0.1521,0.1393,0.1025,1.2195,18.846,0.1576,0.2194
10/12/2015,0.2152,0.2039,0.1513,0.1377,0.1027,1.2212,18.81,0.1578,0.2196
10/13/2015,0.2153,0.2058,0.1523,0.1391,0.1031,1.2256,18.958,0.1584,0.2205
10/14/2015,0.2183,0.2053,0.1511,0.1383,0.1034,1.2219,18.853,0.1579,0.2167
10/15/2015,0.2154,0.2036,0.1497,0.1371,0.1018,1.2211,18.7,0.1578,0.2163
10/16/2015,0.215,0.2026,0.1499,0.1384,0.1018,1.2208,18.731,0.1578,0.2167
10/19/2015,0.2172,0.2036,0.1502,0.1386,0.1021,1.2214,18.775,0.1577,0.2171
10/20/2015,0.2167,0.2047,0.1504,0.1386,0.1016,1.218,18.763,0.1575,0.2179
10/21/2015,0.2168,0.2046,0.1506,0.1386,0.102,1.2207,18.844,0.1578,0.2187
10/22/2015,0.2183,0.2069,0.1511,0.1386,0.1021,1.2206,18.849,0.1577,0.2187
10/23/2015,0.218,0.2061,0.1531,0.1417,0.1022,1.2182,18.981,0.1575,0.2175
10/26/2015,0.2181,0.2074,0.1541,0.1427,0.1028,1.2203,19.073,0.1578,0.2187
10/27/2015,0.2171,0.2072,0.1547,0.1422,0.1025,1.2202,19.026,0.1576,0.2187
10/28/2015,0.2189,0.2089,0.1554,0.1425,0.1028,1.2198,18.937,0.1576,0.2187
10/29/2015,0.2214,0.2074,0.1562,0.1437,0.103,1.2178,18.973,0.1575,0.2203
10/30/2015,0.222,0.2071,0.1556,0.1429,0.1027,1.2191,19.007,0.1576,0.22
11/2/2015,0.2221,0.2072,0.1563,0.1436,0.1026,1.2282,19.071,0.1585,0.2202
11/3/2015,0.2204,0.2066,0.1557,0.143,0.1023,1.2227,19.03,0.158,0.22
11/4/2015,0.2195,0.2061,0.1564,0.1437,0.1023,1.2226,19.08,0.1581,0.2198
11/5/2015,0.2211,0.2077,0.1568,0.1451,0.1026,1.2236,19.152,0.1581,0.2209
11/6/2015,0.2206,0.2075,0.1569,0.1446,0.1036,1.2214,19.152,0.1578,0.2212
11/9/2015,0.2235,0.2092,0.1582,0.1464,0.1045,1.2196,19.357,0.1577,0.2231
11/10/2015,0.2229,0.2085,0.1577,0.1459,0.104,1.2179,19.314,0.1574,0.2232
11/11/2015,0.2231,0.2085,0.158,0.1462,0.1038,1.2181,19.316,0.1574,0.2227
11/12/2015,0.2222,0.2081,0.1576,0.1457,0.1032,1.2167,19.245,0.1573,0.2222
11/13/2015,0.2201,0.2086,0.1571,0.145,0.1031,1.2167,19.216,0.1573,0.2224
11/16/2015,0.2193,0.2076,0.1571,0.1454,0.1024,1.2075,19.034,0.1571,0.2228
11/17/2015,0.2212,0.2093,0.1585,0.1467,0.1032,1.2161,19.321,0.1572,0.2227
11/18/2015,0.2204,0.2088,0.159,0.1471,0.103,1.2149,19.326,0.157,0.2224
11/19/2015,0.2201,0.2083,0.1596,0.1466,0.1028,1.2137,19.317,0.1569,0.221
11/20/2015,0.2179,0.2083,0.1588,0.1459,0.1025,1.2141,19.231,0.1569,0.2207
11/23/2015,0.216,0.2086,0.1592,0.1457,0.1028,1.2102,19.059,0.1569,0.2211
11/24/2015,0.2178,0.2092,0.1594,0.147,0.1035,1.2133,19.217,0.1568,0.2205
11/25/2015,0.2157,0.2083,0.1592,0.1469,0.1038,1.2127,19.153,0.1567,0.2193
11/26/2015,0.2158,0.2082,0.16,0.1471,0.1035,1.2129,19.174,0.1568,0.2195
11/27/2015,0.2168,0.2081,0.1602,0.1474,0.1037,1.2124,19.168,0.1568,0.2201
11/30/2015,0.2179,0.2092,0.1613,0.1468,0.1041,1.2127,19.079,0.1566,0.2201
12/1/2015,0.2161,0.2086,0.1608,0.1476,0.1038,1.2114,19.227,0.1565,0.2195
12/2/2015,0.2134,0.2088,0.1604,0.1468,0.1036,1.2111,19.18,0.1565,0.2195
12/3/2015,0.214,0.2087,0.1592,0.1471,0.1046,1.2109,19.233,0.1565,0.2177
12/4/2015,0.2132,0.2086,0.1553,0.143,0.1033,1.2112,19.143,0.1566,0.2174
12/7/2015,0.2133,0.2097,0.1561,0.1429,0.1036,1.2132,19.152,0.1565,0.2182
12/8/2015,0.2149,0.2108,0.1561,0.1438,0.1037,1.2091,19.211,0.1563,0.2188
12/9/2015,0.2158,0.2116,0.1548,0.1429,0.1038,1.2077,19.131,0.1561,0.2181
12/10/2015,0.2151,0.211,0.153,0.141,0.1025,1.2054,18.909,0.1558,0.2174
12/11/2015,0.2137,0.2118,0.1535,0.1417,0.1025,1.2041,18.884,0.1556,0.2176
12/14/2015,0.217,0.2136,0.153,0.1406,0.1023,1.2053,18.669,0.1552,0.2177
12/15/2015,0.2134,0.2125,0.1526,0.1406,0.1021,1.1997,18.721,0.1551,0.217
12/16/2015,0.215,0.2125,0.1534,0.1413,0.1029,1.1992,18.806,0.155,0.2166
12/17/2015,0.2144,0.2131,0.1534,0.1419,0.1032,1.1974,18.889,0.1547,0.2171
12/18/2015,0.2163,0.2148,0.1534,0.1421,0.1033,1.1958,18.864,0.1545,0.2175
12/21/2015,0.2153,0.2152,0.153,0.1417,0.1035,1.1959,18.69,0.1545,0.217
12/22/2015,0.2144,0.2153,0.1532,0.1412,0.1036,1.1957,18.676,0.1545,0.2165
12/23/2015,0.2135,0.2149,0.1525,0.1408,0.1041,1.196,18.657,0.1546,0.2164
12/24/2015,0.2132,0.2136,0.1528,0.1414,0.1037,1.1966,18.649,0.1546,0.2165
12/25/2015,0.2117,0.2131,0.1521,0.1401,0.1034,1.1991,18.481,0.1546,0.2166
12/28/2015,0.2117,0.2128,0.1521,0.1401,0.1034,1.1989,18.466,0.1546,0.2166
12/29/2015,0.2122,0.2139,0.152,0.1403,0.1034,1.1947,18.534,0.1544,0.2165
12/30/2015,0.2113,0.2131,0.1528,0.141,0.1039,1.1949,18.563,0.1544,0.2174
12/31/2015,0.2114,0.2135,0.1521,0.1407,0.1039,1.1939,18.534,0.1543,0.2172
1/1/2016,0.2115,0.2137,0.154,0.1404,0.1043,1.1937,18.339,0.1542,0.2181
1/4/2016,0.2111,0.213,0.1539,0.1404,0.1043,1.189,18.329,0.1542,0.2175
1/5/2016,0.2128,0.2128,0.1531,0.1411,0.1038,1.1855,18.248,0.1532,0.2177
1/6/2016,0.2138,0.2141,0.1544,0.1424,0.1043,1.1882,18.235,0.1536,0.2182
1/7/2016,0.2155,0.2144,0.1535,0.1413,0.1041,1.1823,18.066,0.1527,0.2167
1/8/2016,0.2158,0.2139,0.1506,0.1386,0.1035,1.1761,17.805,0.1519,0.2165
1/11/2016,0.2177,0.2145,0.1506,0.1392,0.1042,1.1896,17.82,0.1518,0.2177
1/12/2016,0.2173,0.2161,0.1522,0.14,0.1045,1.1815,17.886,0.1525,0.2179
1/13/2016,0.2177,0.2168,0.1523,0.1401,0.1053,1.1804,17.897,0.1524,0.2175
1/14/2016,0.2182,0.2178,0.1528,0.1395,0.1053,1.1802,17.836,0.1523,0.2178
1/15/2016,0.2169,0.2175,0.1523,0.1396,0.1051,1.1804,17.911,0.152,0.2178
1/18/2016,0.2208,0.2204,0.1519,0.1388,0.1064,1.189,17.735,0.1521,0.2183
1/19/2016,0.2207,0.2208,0.1525,0.1393,0.1065,1.1854,17.816,0.1522,0.2178
1/20/2016,0.2197,0.2212,0.1523,0.1392,0.1072,1.1893,17.853,0.1522,0.2181
1/21/2016,0.2194,0.2202,0.1525,0.1396,0.107,1.1883,17.779,0.1522,0.2175
1/22/2016,0.2167,0.2165,0.1529,0.1397,0.1067,1.186,17.883,0.1522,0.2166
1/25/2016,0.2167,0.2144,0.1542,0.1398,0.1064,1.1853,17.902,0.1522,0.2166
1/26/2016,0.2186,0.2169,0.1537,0.1399,0.1066,1.185,17.952,0.1522,0.2162
1/27/2016,0.2168,0.2142,0.1543,0.1397,0.1057,1.1835,17.959,0.1521,0.2163
1/28/2016,0.216,0.2139,0.154,0.1392,0.1066,1.1846,17.994,0.1523,0.2163
