,0
0,100000000.0
1,99967679.37944409
2,100089770.89259191
3,100112433.41852006
4,100539532.36394
5,100875922.7060812
6,100719844.20450899
7,101549468.51147528
8,102104303.75268091
9,102012788.5381977
10,101683038.1677259
11,101965219.74871872
12,102112426.51447722
13,101161048.6967359
14,101117454.8670338
15,99600561.43158193
16,100628147.53004195
17,101134309.77672344
18,101464299.6521572
19,102038775.02487612
20,101888712.01011348
21,101707980.93639055
22,101575605.56637971
23,100917145.05080605
24,100491718.90815361
25,101094953.25784759
26,100675436.92255914
27,100790970.50410736
28,100283058.77008507
29,100635218.49566808
30,103432571.24715993
31,103052071.90473744
32,103638742.40511559
33,101489129.5959281
34,101471004.1667506
35,102540982.44816002
36,102401645.36517341
37,102058006.82348414
38,102864743.32886106
39,102965015.93100658
40,102660483.7310144
41,102645074.5424152
42,102777215.15594801
43,103344519.34792541
44,101990547.9627071
45,101669552.14116822
46,102035286.397514
47,102212233.93240191
48,102314695.8714493
49,103141861.78093727
50,103459527.33713688
51,103071216.81543207
52,103373227.65748063
53,103225699.01010056
54,103757593.87340398
55,103807333.62567969
56,104297220.43388648
57,104255933.88283303
58,104001627.07707363
59,103540635.80309217
60,103531879.72395448
61,103620082.05868092
62,103470148.30743782
63,102656861.1654561
64,103017186.83777493
65,102623714.07240461
66,104834036.74988283
67,104348645.73817898
68,104895639.3144437
69,104534900.08157513
70,103870993.22266895
71,109444879.21593265
72,112253567.68061796
73,113521957.18749568
74,114606495.65978722
75,113233593.26078303
76,113691615.04009552
77,113926856.00285469
78,111727035.35048215
79,110858609.8183565
80,110593424.62442815
81,110816245.84236321
82,112308939.95462173
83,115662932.03235722
84,116142561.87771465
85,114759404.85842203
86,114766559.72866961
87,114322481.61340706
88,114545904.96558179
89,113398604.12109351
90,114870664.84047674
91,115522311.31372623
92,115650665.27158044
93,116055450.61694185
94,116152953.59604163
95,116571797.59410891
96,116849371.23319875
97,116005065.81403786
98,114791843.12973417
99,115757085.57422045
100,115809345.6767548
101,116441553.85854788
102,116528164.07841766
103,115843125.3587639
104,115580386.56232028
105,115172893.24910235
106,114334280.47151296
107,113825234.74544396
108,114328039.57302675
109,114321693.03715537
110,113253078.19073388
111,114473326.41819683
112,114750082.45700072
113,114665142.01534559
114,114625099.25260074
115,115414728.6741005
116,114286560.06233
117,114885816.19803113
118,114179458.45769529
119,113012658.2965213
120,113467984.80670111
121,112595962.04945418
122,112464560.41462806
123,114214906.31847782
124,114401032.54770622
125,114729421.59198363
126,115747321.7315741
127,115878510.42561297
128,114466144.8098493
129,113611682.49211971
130,113923452.85815816
131,114474256.43621199
132,114320491.77804227
133,113590445.04302719
134,113252642.02687226
135,114094111.760304
136,113930551.26600789
137,113733786.43383385
138,114010773.15790886
139,115527167.12284687
140,115064769.8427878
141,115359084.77248983
142,115178958.94978611
143,115749906.63664746
144,115673920.65346192
145,115465975.433796
146,116357992.18777229
147,115424063.86928514
148,114867762.00887974
149,113987718.97298153
150,114289019.03599188
151,113992181.06905137
152,114431961.07855985
153,115178811.22415018
154,114951240.0731486
155,114468594.23124434
156,114263906.57131079
157,114101883.00089289
158,114260850.05573595
159,114507683.91842107
160,113876952.54313365
161,114062561.27914552
162,113524029.78401603
163,112976930.06503932
164,112945751.06407304
165,112939500.59440337
166,112695269.49731135
167,113405534.35417888
168,114352290.18114468
169,114394429.01545973
170,113903499.6296164
171,113822645.74089721
172,113801372.29967923
173,114078520.16297682
174,113835778.46380287
175,112457075.15996204
176,112063972.66904509
177,112390325.84434246
178,112083131.25626785
179,110623640.36952029
180,109852728.47735341
181,110931872.74807858
182,111458026.13557069
183,110260959.01637425
184,108716602.09010582
185,108876776.50263259
186,109804224.16912898
187,116870929.77847332
188,117106306.82183217
189,116915211.08677746
190,116996755.21045211
191,117183756.08163233
192,116447246.17417589
193,116548720.69513789
194,116007992.2648607
195,115320010.49875908
196,115048859.39991698
197,114800693.7920967
198,115032288.37145753
199,114875825.77475686
200,114788487.26678859
201,113899711.08720912
202,114136916.57533325
203,114339298.52030183
204,114060569.80154128
205,114513769.85042396
206,114904935.58859791
207,115491781.63350284
208,115798196.03519654
209,116127815.07121308
210,116670057.23142284
211,117000250.76891276
212,116965738.88191882
213,116516097.64450908
214,115997092.37482059
