DATE,AUD,NZD,USD,EUR,GBP,CAD,JPY,SGD,HKD,CHF,CNY
1/1/2015,2.7,3.67,0.16,0.06,0.56,1.12,0.17,0.15,0.5,-0.854,3.25
2/1/2015,2.36,3.63,0.15,0.05,0.56,0.89,0.17,0.16,0.5,-0.85,3.25
3/1/2015,2.3,3.63,0.14,0.03,0.56,0.89,0.17,0.17,0.5,-0.814,3.25
4/1/2015,2.25,3.63,0.13,0.01,0.57,0.9,0.17,0.17,0.5,-0.794,3.25
5/1/2015,2.15,3.53,0.15,-0.01,0.57,0.89,0.17,0.16,0.5,-0.788,3.25
6/1/2015,2.15,3.33,0.18,-0.01,0.57,0.89,0.17,0.16,0.5,-0.789,3.25
7/1/2015,2.14,3.13,0.19,-0.02,0.58,0.74,0.17,0.16,0.5,-0.739,3.25
8/1/2015,2.14,2.95,0.26,-0.03,0.59,0.61,0.17,0.17,0.5,-0.724,3.25
9/1/2015,2.17,2.85,0.27,-0.04,0.59,0.65,0.17,0.18,0.5,-0.733,3.25
10/1/2015,2.15,2.86,0.25,-0.05,0.58,0.72,0.17,0.17,0.5,-0.732,3.25
11/1/2015,2.22,2.89,0.3,-0.09,0.57,0.76,0.17,0.17,0.5,-0.832,2.9
12/1/2015,2.34,2.79,0.54,-0.13,0.58,0.82,0.17,0.18,0.75,-0.756,2.9
1/1/2016,2.3,2.73,0.57,-0.15,0.59,0.8,0.17,0.19,0.75,-0.757,2.9
2/1/2016,2.28,2.62,0.54,-0.18,0.59,0.8,0.1,0.19,0.75,-0.8046,2.9
3/1/2016,2.31,2.43,0.55,-0.23,0.59,0.8,0.1,0.19,0.75,-0.7292,2.9
4/1/2016,2.26,2.34,0.55,-0.25,0.59,0.84,0.06,0.19,0.75,-0.7294,2.9
5/1/2016,2.01,2.38,0.57,-0.26,0.59,0.84,0.06,0.19,0.75,-0.7352,2.9
6/1/2016,1.99,2.37,0.55,-0.27,0.58,0.83,0.06,0.19,0.75,-0.7798,2.9
7/1/2016,1.93,2.37,0.62,-0.3,0.51,0.81,0.06,0.19,0.75,-0.7476,2.9
8/1/2016,1.76,2.24,0.73,-0.3,0.41,0.82,0.06,0.19,0.75,-0.7364,2.9
9/1/2016,1.73,2.23,0.75,-0.3,0.38,0.81,0.06,0.19,0.75,-0.75,2.9
10/1/2016,1.75,2.15,0.72,-0.31,0.4,0.82,0.06,0.19,0.75,-0.73,2.9
11/1/2016,1.76,2.07,0.71,-0.31,0.4,0.82,0.06,0.19,0.75,-0.749,2.9
12/1/2016,1.78,2.03,0.87,-0.32,0.37,0.82,0.06,0.19,1,-0.7292,2.9
1/1/2017,1.78,1.98,0.9,-0.33,0.36,0.87,0.06,0.15,1,-0.7286,2.9
2/1/2017,1.78,2.02,0.87,-0.33,0.36,0.88,0.06,0.15,1,-0.7262,2.9
3/1/2017,1.79,1.98,0.98,-0.33,0.35,0.85,0.06,0.14,1.5,-0.7296,2.9
4/1/2017,1.77,1.97,1.03,-0.33,0.34,0.84,0.06,0.14,1.5,-0.73,2.9
5/1/2017,1.73,1.98,1.05,-0.33,0.31,0.8,0.06,0.14,1.5,-0.7296,2.9
6/1/2017,1.72,1.95,1.16,-0.33,0.29,0.83,0.06,0.14,1.5,-0.73,2.9
7/1/2017,1.7,1.96,1.22,-0.33,0.29,1.12,0.08,0.14,1.5,-0.7256,2.9
8/1/2017,1.7,1.95,1.25,-0.33,0.28,1.2,0.06,0.14,1.5,-0.7262,2.9
9/1/2017,1.72,1.95,1.25,-0.33,0.31,1.32,0.06,0.14,1.75,-0.726,2.9
10/1/2017,1.7,1.94,1.26,-0.33,0.38,1.33,0.06,0.14,1.75,-0.7268,2.9
11/1/2017,1.72,1.93,1.32,-0.33,0.52,1.33,0.06,0.14,1.75,-0.752,2.9
12/1/2017,1.77,1.88,1.54,-0.33,0.52,1.37,0.06,0.15,2,-0.7462,2.9
1/1/2018,1.79,1.88,1.63,-0.33,0.52,1.55,0.07,0.15,2,-0.745,2.9
2/1/2018,1.77,1.91,1.78,-0.33,0.55,1.55,0.07,0.15,2,-0.7446,2.9
3/1/2018,1.93,1.93,2.08,-0.33,0.63,1.6,0.1,0.15,,-0.7354,2.9
4/1/2018,2.06,2.01,2.2,-0.33,0.76,1.64,0.1,0.15,2.25,-0.7282,2.9
5/1/2018,1.96,2.02,2.16,-0.33,0.64,1.65,0.08,0.15,2.25,-0.7348,2.9
6/1/2018,2.07,2.01,2.19,-0.32,0.64,1.65,0.08,0.16,2.25,-0.7316,2.9
7/1/2018,2.02,1.94,2.17,-0.32,0.75,1.8,0.09,0.16,2.5,-0.7278,2.9
8/1/2018,1.96,1.91,2.19,-0.32,0.81,1.84,0.09,0.16,2.5,-0.7284,2.9
9/1/2018,1.93,1.9,2.24,-0.32,0.8,1.88,0.05,0.16,2.5,-0.7358,2.9
10/1/2018,1.93,1.89,2.37,-0.32,0.81,2.01,0.05,0.17,2.75,-0.7454,2.9
11/1/2018,1.94,1.98,2.56,-0.32,0.88,2.13,0.05,0.17,2.75,-0.7382,2.9
12/1/2018,2.02,1.98,2.69,-0.31,0.9,2.19,0.05,0.18,2.75,-0.7134,2.9
1/1/2019,2.07,1.91,2.59,-0.31,0.92,2.14,0.03,0.19,2.75,-0.713,2.9
2/1/2019,1.96,1.9,2.49,-0.31,0.88,1.99,0.03,0.2,2.75,-0.7156,2.9
3/1/2019,1.83,1.88,2.48,-0.31,0.84,1.86,0.05,0.2,2.75,-0.7122,2.9
4/1/2019,1.68,1.81,2.47,-0.31,0.82,1.86,0.05,0.2,2.75,-0.7138,2.9
5/1/2019,1.54,1.72,2.44,-0.31,0.8,1.87,0.05,0.2,2.75,-0.713,2.9
6/1/2019,1.29,1.6,2.3,-0.33,0.78,1.84,0.05,0.2,2.25,-0.7256,2.9
7/1/2019,1.11,1.55,2.22,-0.37,0.77,1.84,0.05,0.2,2,-0.768,2.9
8/1/2019,0.98,1.25,2.06,-0.41,0.76,1.84,0.01,0.2,2,-0.8554,2.9
9/1/2019,0.98,1.15,2.03,-0.42,0.77,1.83,0.01,0.2,2,-0.7632,2.9
10/1/2019,0.88,1.05,1.88,-0.41,0.78,1.85,0.01,0.2,2,-0.7594,2.9
11/1/2019,0.91,1.18,1.77,-0.4,0.79,1.85,0.02,0.2,2,-0.7228,2.9
12/1/2019,0.9,1.23,1.76,-0.4,0.79,1.91,0.02,0.25,1.2,-0.6884,2.9
1/1/2020,0.89,1.27,1.65,-0.39,0.74,1.91,0.02,0.25,0.8,-0.69,2.9
2/1/2020,0.89,1.18,1.59,-0.41,0.75,1.8,0.02,0.24,0.8,-0.7352,2.9
3/1/2020,0.53,0.71,1.35,-0.42,0.53,1.27,0.01,0.22,0.8,-0.6554,2.9
4/1/2020,0.17,0.39,0.17,-0.25,0.65,0.48,-0.04,0.2,0.8,-0.5832,2.9
5/1/2020,0.1,0.26,0.17,-0.27,0.33,0.35,-0.04,0.18,0.8,-0.651,2.9
6/1/2020,0.1,0.28,0.2,-0.38,0.19,0.31,-0.04,0.18,0.8,-0.676,2.9
7/1/2020,0.1,0.3,0.18,-0.44,0.1,0.28,-0.07,0.15,0.8,-0.7048,2.9
8/1/2020,0.1,0.29,0.15,-0.48,0.07,0.26,-0.07,0.14,0.8,-0.7204,2.9
9/1/2020,0.09,0.3,0.13,-0.49,0.06,0.25,-0.06,0.13,0.8,-0.7806,2.9
10/1/2020,0.07,0.27,0.12,-0.51,0.05,0.25,-0.06,0.13,0.8,-0.7666,2.9
