,value,
0,100000000,1
1,100000000,1
2,99180698.87,0.991806989
3,104947013.1,1.049470131
4,105434385.3,1.054343853
5,104947013.1,1.049470131
6,109453940,1.0945394
7,273634850,2.7363485
8,270501626.5,2.705016265
9,273634850,2.7363485
10,270501626.5,2.705016265
11,473377846.4,4.733778464
12,270501626.5,2.705016265
13,473377846.4,4.733778464
14,452709355.6,4.527093556
15,476538659.5,4.765386595
16,929633123.9,9.296331239
17,922147938.8,9.221479388
18,929633123.9,9.296331239
19,929633123.9,9.296331239
20,929633123.9,9.296331239
21,947060340.4,9.470603404
22,916742994.3,9.167429943
23,785779709.4,7.857797094
24,916742994.3,9.167429943
25,993023077.6,9.930230776
26,916742994.3,9.167429943
27,993023077.6,9.930230776
28,916742994.3,9.167429943
29,916742994.3,9.167429943
30,458371497.1,4.583714971
31,507006022.2,5.070060222
36,458371497.1,4.583714971
37,507006022.2,5.070060222
38,458371497.1,4.583714971
39,507006022.2,5.070060222
40,342393677.3,3.423936773
41,507006022.2,5.070060222
42,342393677.3,3.423936773
43,635433160.3,6.354331603
44,342393677.3,3.423936773
45,437318062.2,4.373180622
46,342393677.3,3.423936773
47,931300370.1,9.313003701
48,701122568.5,7.011225685
49,931300370.1,9.313003701
50,768692369,7.68692369
51,538084658.3,5.380846583
52,435047170.5,4.350471705
53,377224445.3,3.772244453
54,365793401.5,3.657934015
55,377224445.3,3.772244453
56,880190372.4,8.801903724
57,377224445.3,3.772244453
58,880190372.4,8.801903724
59,377224445.3,3.772244453
64,377224445.3,3.772244453
65,410770720.9,4.107707209
66,400288783.9,4.002887839
72,770996051.7,7.709960517
73,618105600.5,6.181056005
74,770996051.7,7.709960517
75,618105600.5,6.181056005
76,566120425,5.66120425
77,618105600.5,6.181056005
78,626097505.1,6.260975051
79,417398336.7,4.173983367
80,208699168.4,2.086991684
81,987681246.8,9.876812468
83,987681246.8,9.876812468
84,1016182592,10.16182592
85,762136944.4,7.621369444
86,1016182592,10.16182592
87,762136944.4,7.621369444
88,609709555.5,6.097095555
89,106036444.4,1.060364444
90,609709555.5,3.097095555
91,106036444.4,1.060364444
92,609709555.5,6.097095555
100,107723167.9,1.077231679
101,139584950,1.3958495
102,107723167.9,1.077231679
103,139584950,1.3958495
104,188850226.5,1.888502265
105,209505720,2.0950572
106,188850226.5,1.888502265
107,209505720,2.0950572
108,188850226.5,1.888502265
109,209505720,2.0950572
110,221135201.4,2.211352014
111,209505720,2.0950572
112,208517758.4,2.085177584
113,209505720,2.0950572
114,157129290,1.5712929
115,96694947.69,0.966949477
116,113194644.3,1.131946443
117,102728122.9,1.027281229
118,113194644.3,1.131946443
119,102728122.9,1.027281229
120,102367997.9,1.023679979
121,99498181.47,0.994981815
122,76537062.67,0.765370627
123,99498181.47,0.994981815
124,97989602.11,0.979896021
125,99536627.72,0.995366277
126,91596475.74,0.915964757
127,91596475.74,0.915964757
128,91596475.74,0.915964757
129,72201323.21,0.722013232
130,72201323.21,0.722013232
131,73251524.27,0.732515243
132,,1.080393124
133,,1.087100609
134,,1.081735539
135,,1.093404071
136,,1.087045949
137,,1.077727333
138,,1.076621716
139,,1.050701791
