,date,position
0,2016-03-22,"['SM701', 'SM609', 'SM608', 'SM610', 'SM612', 'SM611', 'SM607', 'SM605', 'SM606', 'SF609']"
1,2016-03-23,"['SM701', 'SM609', 'SM610', 'SM612', 'SM611', 'SF609', 'SF612', 'SF701', 'SF610', 'SF611']"
2,2016-03-24,"['SM701', 'SM609', 'SF609', 'OI701', 'TA611', 'TA610', 'TA701', 'TA612', 'OI609', 'TA607']"
3,2016-03-25,"['OI607', 'SR705', 'SR701', 'SR703', 'SR707', 'SR611', 'RM609', 'RM701', 'RM611', 'RM608']"
4,2016-03-28,"['SR705', 'SR707', 'SR703', 'SR611', 'RM701', 'RM611', 'RM609', 'RM608', 'RS609', 'RM607']"
5,2016-03-29,"['OI701', 'OI609', 'SR705', 'SR701', 'OI605', 'SR703', 'SR611', 'SR609', 'RM701', 'RM611']"
6,2016-03-30,"['OI607', 'SR705', 'SR701', 'SR703', 'SR607', 'RM608', 'RM607', 'WH609', 'WH611', 'WH605']"
7,2016-03-31,"['SR703', 'CF605', 'WH605']"
8,2016-04-01,"['CF605', 'WH605']"
9,2016-04-05,"['OI701', 'OI611', 'OI609', 'CF607', 'SR705', 'OI607', 'SR703', 'SR611', 'CF605', 'OI605']"
10,2016-04-06,"['OI701', 'OI611', 'OI609', 'CF607', 'SR705', 'OI607', 'SR707', 'SR703', 'SR701', 'CF609']"
11,2016-04-07,"['OI611', 'SR705', 'SR707', 'SR703', 'SR701', 'SR611', 'CF607', 'CF609', 'SR609', 'SR607']"
12,2016-04-08,"['SR705', 'SR707', 'SR703', 'SR611', 'SR701', 'SR609', 'SR607', 'CF609', 'RM611', 'SR605']"
13,2016-04-11,"['SR707', 'WH605', 'WH609', 'WH701', 'WH611', 'WH607', 'RI609']"
14,2016-04-12,"['WH605', 'WH609', 'WH701', 'WH611', 'WH607', 'RI609']"
15,2016-04-13,"['WH611', 'RI609', 'ZC610', 'ZC611', 'WH607', 'ZC607', 'RI605', 'PM701']"
16,2016-04-14,"['CF609', 'CF607', 'CF605', 'CF611', 'RI605', 'WH611', 'RI609', 'PM607', 'PM609', 'ZC611']"
17,2016-04-15,"['CF609', 'CF607', 'CF701', 'CF605', 'CF611', 'TA604', 'RI605', 'TA606', 'RI609', 'PM607']"
18,2016-04-18,"['CF609', 'CF607', 'CF701', 'CF611', 'CF605', 'RI605', 'TA608', 'RM608', 'TA606', 'RI609']"
19,2016-04-19,"['CF609', 'CF607', 'CF701', 'CF611', 'CF605', 'RI605', 'RM608', 'TA607', 'RI609', 'RM607']"
20,2016-04-20,"['CF609', 'CF701', 'CF611', 'CF607', 'CF605', 'RI605', 'OI605', 'RM611', 'RM609', 'RM608']"
21,2016-04-21,"['CF609', 'CF701', 'CF611', 'CF607', 'CF605', 'RI605', 'OI701', 'OI607', 'OI605', 'RM701']"
22,2016-04-22,"['CF609', 'CF701', 'CF611', 'CF607', 'CF605', 'RI605', 'OI701', 'OI607', 'OI609', 'OI605']"
